query_id	Rprec
1	0.1261
3	0.027
4	0.0488
5	0.175
6	0.1938
7	0.1329
8	0.0
9	0.1321
10	0.0068
11	0.1212
12	0.0441
13	0.0857
14	0.0377
15	0.0
16	0.0
17	0.0
18	0.0725
19	0.0492
20	0.3016
23	0.0
24	0.0
25	0.2308
26	0.0714
27	0.3333
28	0.0
29	0.0
30	0.0
31	0.0
32	0.0
33	0.0769
34	0.0
35	1.0
36	0.1667
37	0.0
38	0.0463
39	0.0
40	0.068
41	0.0
42	0.0128
44	0.0
45	0.0
46	0.0
47	0.1111
48	0.0
49	0.0
50	0.0
52	0.683
53	0.3625
54	0.293
55	0.0116
56	0.5064
57	0.6091
58	0.5764
59	0.0778
60	0.0
61	0.1346
62	0.4686
63	0.0
64	0.0043
65	0.0
66	0.0
67	0.004
68	0.1351
69	0.0
70	0.1167
71	0.0642
72	0.0118
73	0.0054
74	0.0119
76	0.0
77	0.4972
79	0.0
80	0.1027
81	0.2182
82	0.0
83	0.0156
84	0.0132
85	0.12
86	0.1538
87	0.0062
88	0.0102
89	0.0429
90	0.1531
91	0.0
92	0.0746
93	0.0
94	0.0084
95	0.0217
96	0.0
97	0.325
98	0.3947
99	0.5154
100	0.0654
101	0.2424
102	0.1
103	0.0
104	0.0
105	0.0
106	0.0
107	0.0
108	0.0639
109	0.0
110	0.2882
111	0.1957
112	0.0
113	0.0
114	0.095
115	0.0459
116	0.0435
117	0.5192
118	0.2165
119	0.2299
120	0.0278
121	0.016
122	0.449
123	0.1565
124	0.2435
125	0.1421
126	0.0
127	0.009
128	0.0132
129	0.248
130	0.1081
131	0.0714
132	0.5714
133	0.0
134	0.0909
135	0.5028
136	0.2308
137	0.3438
138	0.0
139	0.0864
140	0.1127
141	0.1094
142	0.3294
143	0.1867
144	0.0
145	0.0593
146	0.0188
147	0.0
148	0.0511
149	0.0
150	0.1986
