query_id	recip_rank
1	0.2
3	0.0909
4	0.1667
5	0.3333
6	1.0
7	1.0
8	0.0
9	0.0909
10	0.0154
11	0.1111
12	0.0312
13	1.0
14	0.0103
15	0.005
16	0.0
17	0.0
18	1.0
19	0.0714
20	1.0
23	0.0033
24	0.0016
25	0.05
26	1.0
27	1.0
28	0.0435
29	0.04
30	0.0
31	0.5
32	0.0
33	0.3333
34	0.0
35	1.0
36	0.0312
37	0.0
38	0.0667
39	0.0
40	0.1
41	0.0286
42	0.0476
44	0.0014
45	0.0
46	0.0037
47	0.5
48	0.0
49	0.0
50	0.0
52	1.0
53	1.0
54	1.0
55	0.0083
56	1.0
57	1.0
58	1.0
59	0.3333
60	0.0037
61	1.0
62	0.5
63	0.0
64	0.004
65	0.0
66	0.0
67	0.0185
68	0.5
69	1.0
70	0.1
71	0.0303
72	0.0385
73	0.0019
74	0.0455
76	0.0016
77	1.0
79	0.0
80	0.1667
81	1.0
82	0.0
83	0.0172
84	0.0103
85	0.3333
86	0.1
87	0.0108
88	0.2
89	0.5
90	0.1667
91	0.0
92	0.1111
93	0.0
94	0.0213
95	0.0122
96	0.0
97	1.0
98	1.0
99	0.5
100	0.1667
101	0.25
102	0.0833
103	0.0037
104	0.0047
105	0.0
106	0.0039
107	0.0067
108	0.0833
109	0.0
110	0.5
111	0.3333
112	0.0
113	0.0033
114	0.1111
115	0.0063
116	0.0056
117	0.0769
118	0.0058
119	0.0263
120	0.0333
121	0.0114
122	0.5
123	1.0
124	0.5
125	0.0714
126	0.003
127	0.0833
128	1.0
129	0.5
130	0.5
131	0.0667
132	1.0
133	0.0769
134	1.0
135	1.0
136	1.0
137	0.25
138	0.0
139	0.2
140	0.25
141	0.2
142	0.3333
143	0.1111
144	0.0172
145	1.0
146	0.0294
147	0.0052
148	1.0
149	0.0
150	0.0909
