query_id	recip_rank
1	0.2500
3	0.1000
4	0.2000
5	0.0017
6	1.0000
7	1.0000
8	0.0000
9	0.2000
10	0.0161
11	0.2500
12	0.0333
13	1.0000
14	0.0227
15	0.0065
16	0.0000
17	0.0013
18	0.1429
19	0.0909
20	1.0000
21	1.0000
23	0.0039
24	0.0019
25	0.0500
26	1.0000
27	1.0000
28	0.0417
29	0.1250
30	0.0000
31	0.5000
32	0.0000
33	0.2500
34	0.0000
35	1.0000
36	0.0217
37	0.0000
38	0.0625
39	0.0000
40	0.5000
41	0.0323
42	0.5000
44	0.0018
45	0.0000
46	0.0050
47	0.3333
48	0.0000
49	0.0000
50	0.0000
52	1.0000
53	0.3333
54	1.0000
55	0.0000
56	1.0000
57	1.0000
58	1.0000
59	0.3333
60	0.0040
61	0.5000
62	0.5000
63	0.0000
64	0.0020
65	0.0000
66	0.0000
67	0.0625
68	0.5000
69	1.0000
70	0.1000
71	0.0233
72	0.0159
73	0.0061
74	0.0909
76	0.0012
77	0.0000
79	0.0000
80	0.2000
81	1.0000
82	0.0000
83	0.0066
84	0.0090
85	0.3333
86	0.0164
87	0.0476
88	0.5000
89	0.2000
90	0.1667
91	0.0000
92	0.5000
93	0.0000
94	0.0294
95	0.0149
96	0.0000
97	1.0000
98	0.5000
99	1.0000
100	0.2000
101	0.3333
102	0.1250
103	0.0029
104	0.0047
105	0.0000
106	0.0000
107	0.0024
108	0.0909
109	0.0000
110	0.5000
111	0.3333
112	0.0013
113	0.0033
114	0.0526
115	0.0084
116	0.0042
117	0.0769
118	0.0082
119	0.0323
120	0.0476
121	0.0213
122	0.5000
123	1.0000
124	0.5000
125	0.0435
126	0.0040
127	0.0833
128	1.0000
129	1.0000
130	0.5000
131	0.0769
132	1.0000
133	0.0769
134	1.0000
135	0.2500
137	0.2500
138	0.0071
139	0.0303
140	0.0400
141	0.2000
142	0.5000
143	0.2500
144	0.0000
145	1.0000
146	1.0000
147	0.0132
148	1.0000
149	0.0000
150	0.1250
