query_id	map
1	0.0420
3	0.0388
4	0.0541
5	0.1004
6	0.1019
7	0.1690
8	0.0000
9	0.1226
10	0.0034
11	0.0672
12	0.0064
13	0.0990
14	0.0042
15	0.0037
16	0.0000
17	0.0000
18	0.0378
19	0.0083
20	0.3292
23	0.0001
24	0.0000
25	0.1074
26	0.0820
27	0.4300
28	0.0486
29	0.0257
30	0.0000
31	0.5000
32	0.0000
33	0.0441
34	0.0000
35	1.0000
36	0.0126
37	0.0000
38	0.0046
39	0.0000
40	0.0253
41	0.0004
42	0.0130
44	0.0000
45	0.0000
46	0.0001
47	0.0265
48	0.0000
49	0.0000
50	0.0000
52	0.6974
53	0.2975
54	0.2761
55	0.0005
56	0.4590
57	0.6527
58	0.6582
59	0.0128
60	0.0018
61	0.1497
62	0.2968
63	0.0000
64	0.0001
65	0.0000
66	0.0000
67	0.0002
68	0.0803
69	0.1453
70	0.0210
71	0.0144
72	0.0051
73	0.0000
74	0.0006
76	0.0000
77	0.3530
79	0.0000
80	0.0148
81	0.1410
82	0.0000
83	0.0009
84	0.0002
85	0.0230
86	0.0538
87	0.0007
88	0.0459
89	0.0515
90	0.0462
91	0.0000
92	0.0038
93	0.0001
94	0.0004
95	0.0011
96	0.0000
97	0.4180
98	0.4170
99	0.5276
100	0.0208
101	0.1300
102	0.1027
103	0.0001
104	0.0008
105	0.0000
106	0.0019
107	0.0030
108	0.0050
109	0.0000
110	0.0424
111	0.1190
112	0.0000
113	0.0002
114	0.0396
115	0.0027
116	0.0022
117	0.3323
118	0.0609
119	0.0704
120	0.0011
121	0.0115
122	0.2831
123	0.2300
124	0.2443
125	0.0260
126	0.0000
127	0.0010
128	0.0068
129	0.2416
130	0.0153
131	0.0107
132	0.6998
133	0.0227
134	0.1542
135	0.2813
136	0.2704
137	0.3389
138	0.0000
139	0.0331
140	0.0595
141	0.1077
142	0.1046
143	0.0939
144	0.0003
145	0.0298
146	0.0014
147	0.0008
148	0.0302
149	0.0000
150	0.0703
